patientId;holterMac;flexMac
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
515.0;401.0;;;;;;;;;;;;;;0.92263556;-0.26783043;-0.21576586;;;;;368.5;
575.0;453.9;;;;;;;;;;;;;;;;;-2.9831843;0.9575182;0.6714072;;378.1;
575.0;453.9;;;;;;;;;;;;;;0.92391735;-0.27063814;-0.21454512;;;;;378.1;
575.0;453.9;;;;;;;;;;;;;;;;;-2.639851;1.0605181;0.5607776;;378.1;
575.0;453.9;;;;;;;;;;;;;;0.92477185;-0.26459548;-0.21387371;;;;;378.1;
575.0;453.9;;;;;;;;;;;;;;;;;-2.4338512;0.9575182;0.5188147;;387.7;
575.0;453.9;;;;;;;;;;;;;;0.9269082;-0.26422927;-0.21546067;;;;;387.7;
575.0;453.9;;;;;;;;;;;;;;;;;-2.1591845;0.96896267;0.48066652;;387.7;
575.0;453.9;;;;;;;;;;;;;;0.92788476;-0.2674032;-0.21552171;;;;;387.7;
575.0;453.9;;;;;;;;;;;;;;;;;-1.9646292;1.045259;0.29374066;;397.4;
575.0;453.9;;;;;;;;;;;;;;0.92672503;-0.26239815;-0.2156438;;;;;397.4;
575.0;453.9;;;;;;;;;;;;;;;;;-1.9074068;1.0757774;0.24796289;;397.4;
575.0;453.9;;;;;;;;;;;;;;0.9288614;-0.26459548;-0.21552171;;;;;397.4;
575.0;461.4;;;;;;;;;;;;;;;;;-1.7509995;1.083407;0.15259254;;407.1;
575.0;461.4;;;;;;;;;;;;;;0.9286172;-0.2628254;-0.21674246;;;;;407.1;
575.0;461.4;;;;;;;;;;;;;;;;;-1.6747032;1.1291848;0.07248146;;407.1;
575.0;461.4;;;;;;;;;;;;;;0.9276406;-0.2614826;-0.21643727;;;;;407.1;
575.0;461.4;;;;;;;;;;;;;;;;;-1.6518143;1.0795922;-0.08774071;;416.7;
575.0;461.4;;;;;;;;;;;;;;0.92751855;-0.2609943;-0.21423994;;;;;416.7;
575.0;461.4;;;;;;;;;;;;;;;;;-1.6060365;1.0605181;-0.20218512;;416.7;
575.0;461.4;;;;;;;;;;;;;;0.9258095;-0.26288643;-0.21289712;;;;;416.7;
575.0;461.4;;;;;;;;;;;;;;;;;-1.5297403;1.1215552;-0.26322216;;426.4;
575.0;461.4;;;;;;;;;;;;;;0.9252602;-0.25861385;-0.21301919;;;;;426.4;
575.0;461.4;;;;;;;;;;;;;;;;;-1.5068514;1.0376294;-0.3929258;;426.4;
575.0;461.4;;;;;;;;;;;;;;0.9243446;-0.25550097;-0.2118595;;;;;426.4;
638.0;506.9;;;;;;;;;;;;;;;;;-1.4343699;0.84307384;-0.57222205;;436.0;
638.0;506.9;;;;;;;;;;;;;;0.92263556;-0.25385296;-0.21216469;;;;;436.0;
638.0;506.9;;;;;;;;;;;;;;;;;-1.2817774;0.7896664;-0.7209998;;436.0;
638.0;506.9;;;;;;;;;;;;;;0.92226934;-0.25104526;-0.21161534;;;;;436.0;
638.0;506.9;;;;;;;;;;;;;;;;;-1.1902219;0.7858516;-0.90792567;;445.6;
638.0;506.9;;;;;;;;;;;;;;0.92190313;-0.2496414;-0.20996734;;;;;445.6;
638.0;506.9;;;;;;;;;;;;;;;;;-1.1406293;0.6485183;-1.0223701;;445.6;
638.0;506.9;;;;;;;;;;;;;;0.9239784;-0.24897;-0.20862453;;;;;445.6;
638.0;506.9;;;;;;;;;;;;;;;;;-1.106296;0.6485183;-1.0986663;;455.3;
638.0;506.9;;;;;;;;;;;;;;0.9241615;-0.2487869;-0.2069155;;;;;455.3;
638.0;506.9;;;;;;;;;;;;;;;;;-1.2016664;0.6714072;-1.1864071;;455.3;
638.0;506.9;;;;;;;;;;;;;;0.92660296;-0.24707785;-0.20880765;;;;;455.3;
638.0;514.0;;;;;;;;;;;;;;;;;-1.2512589;0.6714072;-1.3389996;;465.0;
638.0;514.0;;;;;;;;;;;;;;0.9300821;-0.2487869;-0.2074038;;;;;465.0;
638.0;514.0;;;;;;;;;;;;;;;;;-1.4000366;0.7019257;-1.392407;;465.0;
638.0;514.0;;;;;;;;;;;;;;0.9314249;-0.2527543;-0.20783105;;;;;465.0;
638.0;514.0;;;;;;;;;;;;;;;;;-1.4839625;0.6447035;-1.5259255;;474.6;
638.0;514.0;;;;;;;;;;;;;;0.9335612;-0.25189978;-0.20905179;;;;;474.6;
638.0;514.0;;;;;;;;;;;;;;;;;-1.6670736;0.7095553;-1.5793328;;474.6;
638.0;514.0;;;;;;;;;;;;;;0.9342326;-0.2542802;-0.21045564;;;;;474.6;
638.0;514.0;;;;;;;;;;;;;;;;;-1.7777032;0.7515183;-1.6098514;;484.3;
638.0;514.0;;;;;;;;;;;;;;0.93435466;-0.2552568;-0.21179846;;;;;484.3;
638.0;514.0;;;;;;;;;;;;;;;;;-1.8044069;0.7324442;-1.6747032;;484.3;
638.0;514.0;;;;;;;;;;;;;;0.9342326;-0.25360882;-0.21143223;;;;;484.3;
817.0;566.8;;;;;;;;;;;;;;;;;-1.8349254;0.6027406;-1.7166661;;493.9;
817.0;566.8;;;;;;;;;;;;;;0.934843;-0.2560503;-0.21344645;;;;;493.9;
817.0;566.8;;;;;;;;;;;;;;;;;-1.8272958;0.7057405;-1.7433698;;493.9;
817.0;566.8;;;;;;;;;;;;;;0.93295085;-0.2550737;-0.21094394;;;;;493.9;
817.0;566.8;;;;;;;;;;;;;;;;;-1.7586291;0.6675924;-1.7853328;;503.5;
817.0;566.8;;;;;;;;;;;;;;0.9322794;-0.2544023;-0.21344645;;;;;503.5;
817.0;566.8;;;;;;;;;;;;;;;;;-1.5640736;0.62944424;-1.8463699;;503.5;
817.0;566.8;;;;;;;;;;;;;;0.9317911;-0.25135043;-0.2118595;;;;;503.5;
817.0;566.8;;;;;;;;;;;;;;;;;-1.4267403;0.5035554;-1.8768883;;513.2;
817.0;566.8;;;;;;;;;;;;;;0.92898345;-0.2501297;-0.21320231;;;;;513.2;
817.0;566.8;;;;;;;;;;;;;;;;;-1.3122959;0.5035554;-1.9074068;;513.2;
817.0;566.8;;;;;;;;;;;;;;0.92898345;-0.2501297;-0.2113712;;;;;513.2;
817.0;574.3;;;;;;;;;;;;;;;;;-1.0528886;0.48448133;-1.9264809;;522.9;
817.0;574.3;;;;;;;;;;;;;;0.92519915;-0.25287637;-0.21008942;;;;;522.9;
817.0;574.3;;;;;;;;;;;;;;;;;-0.9117405;0.5226295;-2.0027773;;522.9;
817.0;574.3;;;;;;;;;;;;;;0.92696923;-0.25049594;-0.21008942;;;;;522.9;
817.0;574.3;;;;;;;;;;;;;;;;;-0.6904813;0.4196295;-2.0561848;;532.6;
817.0;574.3;;;;;;;;;;;;;;0.9254433;-0.2503128;-0.20856349;;;;;532.6;
817.0;574.3;;;;;;;;;;;;;;;;;-0.59129614;0.26703694;-2.094333;;532.6;
817.0;574.3;;;;;;;;;;;;;;0.9279458;-0.25220495;-0.20978424;;;;;532.6;
817.0;574.3;;;;;;;;;;;;;;;;;-0.45014802;0.32425916;-2.170629;;542.2;
817.0;574.3;;;;;;;;;;;;;;0.9278237;-0.25043488;-0.2113712;;;;;542.2;
817.0;574.3;;;;;;;;;;;;;;;;;-0.35477766;0.29374066;-2.2240365;;542.2;
817.0;574.3;;;;;;;;;;;;;;0.93148595;-0.25208288;-0.21033357;;;;;542.2;
819.0;627.6;;;;;;;;;;;;;;;;;-0.24414808;0.21362957;-2.3499253;;551.9;
819.0;627.6;;;;;;;;;;;;;;0.9336833;-0.2501297;-0.21240883;;;;;551.9;
819.0;627.6;;;;;;;;;;;;;;;;;-0.12588885;0.20981476;-2.395703;;551.9;
819.0;627.6;;;;;;;;;;;;;;0.9336833;-0.25019073;-0.21198156;;;;;551.9;
819.0;627.6;;;;;;;;;;;;;;;;;-0.03051851;0.20981476;-2.4910734;;561.5;
819.0;627.6;;;;;;;;;;;;;;0.93527025;-0.25348675;-0.21198156;;;;;561.5;
819.0;627.6;;;;;;;;;;;;;;;;;0.015259255;0.19837031;-2.521592;;561.5;
819.0;627.6;;;;;;;;;;;;;;0.933195;-0.25360882;-0.21314128;;;;;561.5;
819.0;627.6;;;;;;;;;;;;;;;;;0.068666644;0.12207404;-2.6055179;;571.1;
819.0;627.6;;;;;;;;;;;;;;0.931608;-0.2552568;-0.21192053;;;;;571.1;
819.0;627.6;;;;;;;;;;;;;;;;;0.07248146;0.110629596;-2.7085178;;571.1;
819.0;627.6;;;;;;;;;;;;;;0.9306925;-0.25208288;-0.21240883;;;;;571.1;
