patientId;holterMac;flexMac
jp_portaat_ylös;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
523.0;399.2;;;;;;;;;;;;;;;;;-16.338848;-11.505478;33.925137;;320.5;
523.0;399.2;;;;;;;;;;;;;;0.96249276;-0.09912412;-0.25043488;;;;;320.5;
523.0;399.2;;;;;;;;;;;;;;;;;-15.64455;-9.628591;32.04062;;330.0;
523.0;399.2;;;;;;;;;;;;;;0.9831843;-0.09363079;-0.25745416;;;;;330.0;
523.0;399.2;;;;;;;;;;;;;;;;;-14.015625;-7.5838494;31.533249;;330.0;
523.0;399.2;;;;;;;;;;;;;;0.99038666;-0.09424116;-0.25104526;;;;;330.0;
523.0;399.2;;;;;;;;;;;;;;;;;-12.371441;-6.8933682;31.12125;;339.7;
523.0;399.2;;;;;;;;;;;;;;1.0046083;-0.098025456;-0.25189978;;;;;339.7;
523.0;399.2;;;;;;;;;;;;;;;;;-10.845515;-6.595813;30.396435;;339.7;
523.0;399.2;;;;;;;;;;;;;;1.0276803;-0.09173864;-0.25458542;;;;;339.7;
523.0;459.1;;;;;;;;;;;;;;;;;-9.163182;-6.111332;29.896696;;349.3;
523.0;459.1;;;;;;;;;;;;;;1.0390942;-0.09143346;-0.26899013;;;;;349.3;
523.0;459.1;;;;;;;;;;;;;;;;;-6.5271463;-5.668813;29.045992;;349.3;
523.0;459.1;;;;;;;;;;;;;;1.0521561;-0.078981906;-0.2847377;;;;;349.3;
523.0;459.1;;;;;;;;;;;;;;;;;-4.2306285;-5.1118503;28.321177;;359.0;
523.0;459.1;;;;;;;;;;;;;;1.065035;-0.061525315;-0.29267251;;;;;359.0;
523.0;459.1;;;;;;;;;;;;;;;;;-3.2273324;-4.4518876;27.699362;;359.0;
523.0;459.1;;;;;;;;;;;;;;1.0740684;-0.04589984;-0.29169592;;;;;359.0;
523.0;459.1;;;;;;;;;;;;;;;;;-2.6245918;-3.933073;27.108067;;368.6;
523.0;459.1;;;;;;;;;;;;;;1.0870082;-0.03180029;-0.2874233;;;;;368.6;
523.0;459.1;;;;;;;;;;;;;;;;;-1.5526291;-3.7041843;26.3184;;368.6;
523.0;459.1;;;;;;;;;;;;;;1.1033051;-0.022217475;-0.28644672;;;;;368.6;
585.0;466.1;;;;;;;;;;;;;;;;;-0.0038148137;-3.055666;25.242622;;378.3;
585.0;466.1;;;;;;;;;;;;;;1.1167333;-0.011841182;-0.2847377;;;;;378.3;
585.0;466.1;;;;;;;;;;;;;;;;;1.4000366;-2.1858883;23.838772;;378.3;
585.0;466.1;;;;;;;;;;;;;;1.131016;-0.0045777764;-0.28717917;;;;;378.3;
585.0;466.1;;;;;;;;;;;;;;;;;3.154851;-1.289407;22.488325;;388.0;
585.0;466.1;;;;;;;;;;;;;;1.1445051;0.003173925;-0.29151282;;;;;388.0;
585.0;466.1;;;;;;;;;;;;;;;;;5.096591;-0.9460738;21.114994;;388.0;
